timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,temp,angle_deg,angular_velocity,angular_acceleration,pid_output,motor_pulse
2025-11-30T16:11:40.031219,250.12977099236642,-141.3969465648855,-1.4045801526717556,-9.926360083007811,7.766790185546874,-19.6133,22.553529411764707,-21.603372257786024,250.12977099236642,1780.3076754557446,624.9627557323056,2000
2025-11-30T16:11:40.051939,250.12977099236642,-215.1908396946565,-38.595419847328245,-10.28549033203125,8.8489693359375,-18.98123076171875,22.60058823529412,-24.99473366614392,250.12977099236642,0.0,726.1553724381392,2000
2025-11-30T16:11:40.072155,250.12977099236642,-205.93129770992365,-84.22137404580153,-10.960655200195312,11.805808386230469,-10.005368737792969,22.553529411764707,-49.718876118777914,250.12977099236642,0.0,1451.9554143247556,2000
2025-11-30T16:11:40.091251,250.12977099236642,-183.27480916030535,-126.55725190839695,-9.425971936035156,8.348581188964843,-5.128379956054687,22.459411764705884,-58.438358582090125,250.12977099236642,0.0,1698.3551803763169,2000
2025-11-30T16:11:40.114523,250.12977099236642,-103.66412213740458,-112.90076335877863,-4.53940634765625,10.491391674804687,1.66636435546875,22.412352941176472,80.9750092490253,250.12977099236642,0.0,-2402.3623356034836,1000
2025-11-30T16:11:40.133397,250.12977099236642,-45.12213740458015,-38.06106870229008,-2.8706477905273435,5.894524487304687,10.149020837402343,22.60058823529412,30.147906625259655,250.12977099236642,0.0,-855.8940880214974,1000
2025-11-30T16:11:40.156567,250.05343511450383,-41.10687022900763,-16.12213740458015,-2.858676782226562,1.5227122558593749,11.403582507324218,22.506470588235295,7.605674364139559,250.05343511450383,-3.289861263255677,-725.3180592764284,1000
2025-11-30T16:11:40.178027,18.870229007633586,-2.381679389312977,-12.198473282442748,-7.6614453125,-2.094926452636719,10.110713610839843,22.64764705882353,-11.705967935061457,18.870229007633586,-10774.038001609688,346.6730522092151,1846
2025-11-30T16:11:40.200507,-218.09923664122138,109.36641221374046,-5.290076335877862,-6.514622717285156,-1.4939818359375,12.876016528320312,22.412352941176472,-6.618335759361278,-218.09923664122138,-10660.509874604273,818.4398297367087,2000
2025-11-30T16:11:40.222165,-250.13740458015266,237.2290076335878,3.2900763358778624,-9.382876306152344,-0.718260498046875,16.2039568359375,22.553529411764707,-2.538045145139802,-250.13740458015263,-1484.5588777680564,1283.542966661237,2000
2025-11-30T16:11:40.240596,-250.13740458015266,250.12977099236642,-28.900763358778626,-7.675810522460937,8.786720092773438,14.276624499511717,22.553529411764707,31.61071873102812,-250.13740458015263,0.0,-933.066662668909,1000
2025-11-30T16:11:40.263448,-250.13740458015266,250.12977099236642,28.916030534351144,-6.011840368652344,12.552799304199217,6.030993981933594,22.506470588235295,64.33803702771534,-250.13740458015263,0.0,-1878.676706031929,1000
2025-11-30T16:11:40.288786,-250.13740458015266,250.12977099236642,27.435114503816795,-4.774038110351563,11.755530151367187,-6.241683728027343,22.553529411764707,-62.033609501986895,-250.13740458015263,0.0,1844.312208918848,2000
2025-11-30T16:11:40.308392,-250.13740458015266,83.2824427480916,-141.81679389312978,-8.573636145019531,10.943895788574219,-12.296619726562499,22.60058823529412,-41.66883362086778,-250.13740458015263,0.0,1201.6804159142737,2000
2025-11-30T16:11:40.326740,-250.13740458015266,-98.16793893129771,-140.00763358778627,-0.5195417602539062,16.440982800292968,-19.6133,22.506470588235295,-39.97165131803175,-250.13740458015263,0.0,1158.4743576201474,2000
2025-11-30T16:11:40.347202,54.6412213740458,-178.18320610687022,-3.030534351145038,-0.7254431030273437,13.007697619628905,-19.6133,22.506470588235295,-33.55265620829637,54.6412213740458,15358.31763407019,970.4393166672382,2000
2025-11-30T16:11:40.367705,250.12977099236642,-225.90076335877862,-24.938931297709924,-11.176133349609374,4.7189714721679685,-19.6133,22.506470588235295,-13.528265756688647,250.12977099236642,9267.458667627247,384.72539162608524,1884
2025-11-30T16:11:40.392398,250.12977099236642,-250.13740458015266,-85.29007633587786,-8.84178673095703,7.975085729980468,-19.6133,22.506470588235295,-22.127456032981378,250.12977099236642,0.0,644.9886055790245,2000
2025-11-30T16:11:40.411680,250.12977099236642,-250.13740458015266,-100.48091603053435,-14.302960717773436,7.3669585083007805,-15.435418103027343,22.60058823529412,-25.51403493585218,250.12977099236642,0.0,741.1109239282564,2000
2025-11-30T16:11:40.432776,250.12977099236642,-242.2290076335878,-200.1679389312977,-12.20085166015625,10.35492218017578,-5.849034655761718,22.459411764705884,-60.53982832618666,250.12977099236642,0.0,1768.566677754039,2000
2025-11-30T16:11:40.453911,250.12977099236642,-239.27480916030535,-221.2290076335878,-1.9033903198242186,11.587936035156249,4.503493322753906,22.506470588235295,68.76206349113242,250.12977099236642,0.0,-2043.0125099138465,1000
2025-11-30T16:11:40.473346,250.12977099236642,-250.13740458015266,-138.54961832061068,3.907337109375,11.882422839355469,14.425065002441405,22.506470588235295,39.479459047700395,250.12977099236642,0.0,-1132.041038709422,1000
2025-11-30T16:11:40.494658,250.12977099236642,-161.2290076335878,-60.05343511450382,1.0749965454101562,5.736507177734374,17.274164978027343,22.412352941176472,18.370601025557377,250.12977099236642,0.0,-525.2394453327894,1000
2025-11-30T16:11:40.522591,-250.13740458015266,207.6259541984733,78.29770992366412,0.7876923461914062,3.9743747558593747,17.470489514160157,22.459411764705884,12.816143721767265,-250.13740458015263,-17942.69529234344,-370.0744285890333,1129
2025-11-30T16:11:40.545853,-250.13740458015266,250.12977099236642,216.75572519083968,-0.09816226806640624,8.257601525878906,14.458583825683593,22.506470588235295,29.73159685954682,-250.13740458015263,0.0,-868.0136473882317,1000
2025-11-30T16:11:40.566721,-250.13740458015266,250.12977099236642,242.66412213740458,-3.6248213134765623,14.508862060546875,1.8818425048828125,22.412352941176472,82.60982422133395,-250.13740458015263,0.0,-2416.117424089074,1000
2025-11-30T16:11:40.585883,-250.13740458015266,250.12977099236642,214.98473282442748,-6.825868933105468,15.69878028564453,-6.303932971191406,22.553529411764707,-68.12179665789134,-250.13740458015263,0.0,2039.8231697384192,2000
2025-11-30T16:11:40.607000,-250.13740458015266,250.12977099236642,81.3206106870229,-9.217676391601563,10.723629235839843,-15.82567297363281,22.459411764705884,-34.121947082754616,-250.13740458015263,0.0,977.0063094318323,2000
2025-11-30T16:11:40.626590,-250.13740458015266,174.1679389312977,-74.58015267175573,-7.165845568847656,11.437101330566406,-19.6133,22.553529411764707,-30.24773904991823,-250.13740458015263,0.0,875.4844827936204,2000
2025-11-30T16:11:40.660047,250.12977099236642,-199.51908396946564,-34.213740458015266,-4.106055847167968,12.540828295898438,-16.666037756347656,22.60058823529412,-36.96065951460684,250.12977099236642,14414.87614003915,1073.406553726363,2000
2025-11-30T16:11:40.683264,250.12977099236642,-250.13740458015266,-57.725190839694655,-11.75313594970703,4.805162731933594,-18.49520782470703,22.459411764705884,-14.563794766708622,250.12977099236642,0.0,414.6026401893906,1914
2025-11-30T16:11:40.702159,250.12977099236642,-250.13740458015266,-144.98473282442748,-14.865598107910156,3.134009973144531,-19.6133,22.459411764705884,-9.078546938892359,250.12977099236642,0.0,-23.711184959228035,1476
2025-11-30T16:11:40.721505,250.12977099236642,-250.13740458015266,-250.13740458015266,-15.454571716308592,7.599196069335937,-13.493720556640625,22.459411764705884,-29.386704937227982,250.12977099236642,0.0,860.3670645736631,2000
2025-11-30T16:11:40.746043,250.12977099236642,-250.13740458015266,-250.13740458015266,-7.259219433593749,13.038822241210937,-7.082048510742187,22.459411764705884,-61.491361350971786,250.12977099236642,0.0,1796.6958189462443,2000
2025-11-30T16:11:40.779707,250.12977099236642,-122.30534351145039,-131.22137404580153,-0.2825157958984375,6.050147595214844,11.69567510986328,22.412352941176472,27.352428356980283,250.12977099236642,0.0,-813.0504190955104,1000
2025-11-30T16:11:40.802054,82.69465648854961,14.366412213740459,-18.64885496183206,-1.9728221679687499,0.8355763793945312,14.949395166015623,22.506470588235295,3.1991419898941933,82.69465648854961,-6604.041475491977,-424.31691521910835,1075
2025-11-30T16:11:40.826879,-250.13740458015266,212.14503816793894,77.14503816793894,-2.683900061035156,0.5003881469726562,14.671667773437498,22.412352941176472,1.9533580471344683,-250.13740458015263,-13404.119610441992,1283.5422616753729,2000
2025-11-30T16:11:40.850207,-250.13740458015266,250.12977099236642,158.5267175572519,-3.208230224609375,3.6487633300781246,10.802637890625,22.506470588235295,18.66321765307543,-250.13740458015263,0.0,-538.2846420527824,1000
2025-11-30T16:11:40.869336,-250.13740458015266,250.12977099236642,161.89312977099237,-7.343016491699219,7.433996154785156,5.377376928710937,22.60058823529412,54.1199246894586,-250.13740458015263,0.0,-1584.9777660339862,1000
